"filename", "language", "JSON with Comments", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\BG420\coffee-platform\app\api\contracts\amend\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\app\api\signature\sign\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\app\api\signature\verify\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\app\contract\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 134, 0, 0, 15, 67, 216
"c:\Users\BG420\coffee-platform\app\contract\create\step1Client.tsx", "TypeScript JSX", 0, 0, 0, 0, 169, 0, 0, 25, 88, 282
"c:\Users\BG420\coffee-platform\app\contract\create\step2Supply.tsx", "TypeScript JSX", 0, 0, 0, 0, 160, 0, 0, 41, 87, 288
"c:\Users\BG420\coffee-platform\app\contract\create\step3Preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 163, 0, 0, 41, 111, 315
"c:\Users\BG420\coffee-platform\app\contract\pilot\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 3, 31, 92
"c:\Users\BG420\coffee-platform\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 837, 53, 205, 1095
"c:\Users\BG420\coffee-platform\app\lab\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 17, 45, 182
"c:\Users\BG420\coffee-platform\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 34, 0, 0, 3, 11, 48
"c:\Users\BG420\coffee-platform\app\legacy\hybridengineconcept.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1960, 864, 2824
"c:\Users\BG420\coffee-platform\app\legacy\simulationDemo_old.ts", "TypeScript", 0, 657, 0, 0, 0, 0, 0, 218, 272, 1147
