"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\app\lab\page.tsx", "TypeScript JSX", 0, 13, 0, 0, 4, 17
"c:\Users\BG420\coffee-platform\package-lock.json", "JSON", 0, 0, -743, 0, 0, -743
"c:\Users\BG420\coffee-platform\src\AI\advisor\coffeeSupplyAdvisor.ts", "TypeScript", 117, 0, 0, 53, 81, 251
"c:\Users\BG420\coffee-platform\src\AI\agent\AutonomousStrategyAgent.ts", "TypeScript", 35, 0, 0, 8, 6, 49
"c:\Users\BG420\coffee-platform\src\AI\analytics\PnLEngine.ts", "TypeScript", 17, 0, 0, 6, 10, 33
"c:\Users\BG420\coffee-platform\src\AI\analytics\StrategyLeaderboard.ts", "TypeScript", 34, 0, 0, 11, 17, 62
"c:\Users\BG420\coffee-platform\src\AI\analytics\TradeClosureEngine.ts", "TypeScript", 18, 0, 0, 3, 14, 35
"c:\Users\BG420\coffee-platform\src\AI\evolution\CapitalCompetitionEngine.ts", "TypeScript", 37, 0, 0, 21, 30, 88
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyArena.ts", "TypeScript", 38, 0, 0, 24, 24, 86
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyEvolutionEngine.ts", "TypeScript", 44, 0, 0, 39, 31, 114
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyGenome.ts", "TypeScript", 18, 0, 0, 9, 15, 42
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyMutationEngine.ts", "TypeScript", 14, 0, 0, 6, 9, 29
"c:\Users\BG420\coffee-platform\src\AI\execution\PositionSizingEngine.ts", "TypeScript", 36, 0, 0, 41, 35, 112
"c:\Users\BG420\coffee-platform\src\AI\learning\StrategyLearningEngine.ts", "TypeScript", 16, 0, 0, 6, 9, 31
"c:\Users\BG420\coffee-platform\src\AI\learning\TradeMemory.ts", "TypeScript", 20, 0, 0, 9, 17, 46
"c:\Users\BG420\coffee-platform\src\AI\orchestration\runAISystem.ts", "TypeScript", 131, 0, 0, 55, 82, 268
"c:\Users\BG420\coffee-platform\src\AI\risk\CapitalAllocationEngine.ts", "TypeScript", 15, 0, 0, 23, 16, 54
"c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioExposureEngine.ts", "TypeScript", 26, 0, 0, 17, 19, 62
"c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioRebalancer.ts", "TypeScript", 36, 0, 0, 17, 23, 76
"c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractScheduler.ts", "TypeScript", 7, 0, 0, 39, 13, 59
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotAuctionEngine.ts", "TypeScript", 60, 0, 0, 22, 52, 134
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotDispatcher.ts", "TypeScript", 18, 0, 0, 14, 15, 47
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketEngine.ts", "TypeScript", 63, 0, 0, 25, 52, 140
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketLearning.ts", "TypeScript", 66, 0, 0, 31, 53, 150
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotOfferEngine.ts", "TypeScript", 51, 0, 0, 23, 44, 118
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPortfolioEngine.ts", "TypeScript", 81, 0, 0, 28, 62, 171
"c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPricingEngine.ts", "TypeScript", 94, 0, 0, 30, 57, 181
"c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientReputationDrift.ts", "TypeScript", 36, 0, 0, 26, 34, 96
"c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientScoreEngine.ts", "TypeScript", 66, 0, 0, 64, 46, 176
"c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientTrustEngine.ts", "TypeScript", 53, 0, 0, 21, 46, 120
"c:\Users\BG420\coffee-platform\src\clientLayer\scoring\microLotAllocator.ts", "TypeScript", 15, 0, 0, 7, 13, 35
"c:\Users\BG420\coffee-platform\src\components\lab\StrategyLeaderboardPanel.tsx", "TypeScript JSX", 0, 61, 0, 6, 21, 88
"c:\Users\BG420\coffee-platform\src\decision\clientScoring.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\src\decision\liveDecision.ts", "TypeScript", 14, 0, 0, 4, 5, 23
"c:\Users\BG420\coffee-platform\src\engine\runtime.ts", "TypeScript", 86, 0, 0, 72, 58, 216
"c:\Users\BG420\coffee-platform\src\events\eventTypes.ts", "TypeScript", 4, 0, 0, 4, 0, 8
"c:\Users\BG420\coffee-platform\src\market\globalMarketState.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\src\services\contracts.service.ts", "TypeScript", 45, 0, 0, 43, 19, 107
"c:\Users\BG420\coffee-platform\src\services\inventory.service.ts", "TypeScript", 29, 0, 0, 0, 9, 38
"c:\Users\BG420\coffee-platform\src\services\roasting.service.ts", "TypeScript", 44, 0, 0, 0, 10, 54
"c:\Users\BG420\coffee-platform\src\signals\marketSignals.ts", "TypeScript", 57, 0, 0, 39, 20, 116
"Total", "-", 1541, 74, -743, 846, 1073, 2791
