"filename", "language", "JSON with Comments", "TypeScript", "MS SQL", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts", "TypeScript", 0, 50, 0, 0, 8, 23, 81
"c:\Users\BG420\coffee-platform\app\api\contracts\route.ts", "TypeScript", 0, 18, 0, 0, 3, 12, 33
"c:\Users\BG420\coffee-platform\app\api\dev\reset-contracts\route.ts", "TypeScript", 0, 23, 0, 0, 6, 12, 41
"c:\Users\BG420\coffee-platform\app\api\signature\request\route.ts", "TypeScript", 0, 50, 0, 0, 24, 34, 108
"c:\Users\BG420\coffee-platform\app\api\signature\sign\route.ts", "TypeScript", 0, 56, 0, 0, 15, 26, 97
"c:\Users\BG420\coffee-platform\app\api\signature\verify\route.ts", "TypeScript", 0, 46, 0, 0, 24, 40, 110
"c:\Users\BG420\coffee-platform\app\contract\create\step3Preview.tsx", "TypeScript JSX", 0, 0, 0, 8, -2, -30, -24
"c:\Users\BG420\coffee-platform\app\platform\page.tsx", "TypeScript JSX", 0, 0, 0, 6, -2, -9, -5
"c:\Users\BG420\coffee-platform\app\sign\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 79, -4, -10, 65
"c:\Users\BG420\coffee-platform\lib\auth.ts", "TypeScript", 0, 16, 0, 0, 0, 3, 19
"c:\Users\BG420\coffee-platform\lib\getUserFromRequest.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\BG420\coffee-platform\prisma\migrations\init.sql", "MS SQL", 0, 0, 109, 0, 26, 38, 173
"c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx", "TypeScript JSX", 0, 0, 0, 24, 1, 15, 40
"c:\Users\BG420\coffee-platform\src\database\prisma.ts", "TypeScript", 0, 11, 0, 0, 12, 11, 34
"c:\Users\BG420\coffee-platform\tsconfig.json", "JSON with Comments", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 287, 109, 117, 111, 170, 795
