"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "MS SQL", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\app\api\auth\forgot-password\route.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 16, 19, 90
"c:\Users\BG420\coffee-platform\app\api\auth\login\route.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 6, 16, 70
"c:\Users\BG420\coffee-platform\app\api\auth\logout\route.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 4, 21
"c:\Users\BG420\coffee-platform\app\api\auth\me\route.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 16, 13, 68
"c:\Users\BG420\coffee-platform\app\api\auth\resend-verification\route.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 21, 22, 110
"c:\Users\BG420\coffee-platform\app\api\auth\reset-password\route.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 18, 20, 99
"c:\Users\BG420\coffee-platform\app\api\auth\signup\route.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 42, 40, 181
"c:\Users\BG420\coffee-platform\app\api\auth\verify\route.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 39, 37, 149
"c:\Users\BG420\coffee-platform\app\api\company\me\route.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 2, 10, 44
"c:\Users\BG420\coffee-platform\app\api\company\update\route.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 9, 12, 66
"c:\Users\BG420\coffee-platform\app\api\contracts\amend\route.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 22, 15, 95
"c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 23, 6, 36
"c:\Users\BG420\coffee-platform\app\api\contracts\route.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 10, -1, 28
"c:\Users\BG420\coffee-platform\app\api\contracts\send-otp\route.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 17, 24, 95
"c:\Users\BG420\coffee-platform\app\api\signature-legacy\request\route.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 42, 29, 162
"c:\Users\BG420\coffee-platform\app\api\signature-legacy\sign\route.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 18, 20, 94
"c:\Users\BG420\coffee-platform\app\api\signature-legacy\verify\route.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 24, 14, 86
"c:\Users\BG420\coffee-platform\app\api\signature\request\route.ts", "TypeScript", 0, -50, 0, 0, 0, 0, -24, -34, -108
"c:\Users\BG420\coffee-platform\app\api\signature\sign\route.ts", "TypeScript", 0, -56, 0, 0, 0, 0, -15, -27, -98
"c:\Users\BG420\coffee-platform\app\api\signature\verify\route.ts", "TypeScript", 0, -46, 0, 0, 0, 0, -24, -41, -111
"c:\Users\BG420\coffee-platform\app\contract\create\ContractCreateContent.tsx", "TypeScript JSX", 0, 0, 176, 0, 0, 0, 22, 54, 252
"c:\Users\BG420\coffee-platform\app\contract\create\page.tsx", "TypeScript JSX", 0, 0, -124, 0, 0, 0, -15, -64, -203
