"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\app\api\auth\login\route.ts", "TypeScript", 0, 7, 0, 0, 0, 9, 5, 21
"c:\Users\BG420\coffee-platform\app\api\auth\verify\route.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\BG420\coffee-platform\app\api\company\me\route.ts", "TypeScript", 0, 11, 0, 0, 0, 2, 3, 16
"c:\Users\BG420\coffee-platform\app\api\company\update\route.ts", "TypeScript", 0, 4, 0, 0, 0, 2, 3, 9
"c:\Users\BG420\coffee-platform\app\api\contracts\create-payment-session\route.ts", "TypeScript", 0, 57, 0, 0, 0, 7, 14, 78
"c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts", "TypeScript", 0, 12, 0, 0, 0, -9, -4, -1
"c:\Users\BG420\coffee-platform\app\api\contracts\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\BG420\coffee-platform\app\api\contracts\send-otp\route.ts", "TypeScript", 0, 74, 0, 0, 0, 25, 26, 125
"c:\Users\BG420\coffee-platform\app\api\contracts\verify-otp\route.ts", "TypeScript", 0, 94, 0, 0, 0, 30, 31, 155
"c:\Users\BG420\coffee-platform\app\api\partner\lots\[id]\route.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\BG420\coffee-platform\app\api\partner\lots\[id]\verify\route.ts", "TypeScript", 0, 82, 0, 0, 0, 39, 27, 148
"c:\Users\BG420\coffee-platform\app\api\partner\lots\route.ts", "TypeScript", 0, 26, 0, 0, 0, 7, 8, 41
"c:\Users\BG420\coffee-platform\app\api\place-details\route.ts", "TypeScript", 0, 59, 0, 0, 0, 12, 24, 95
"c:\Users\BG420\coffee-platform\app\api\places\route.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\BG420\coffee-platform\app\api\pricing\client\preview\route.ts", "TypeScript", 0, 37, 0, 0, 0, 1, 5, 43
"c:\Users\BG420\coffee-platform\app\api\pricing\producer\preview\route.ts", "TypeScript", 0, 67, 0, 0, 0, 18, 17, 102
"c:\Users\BG420\coffee-platform\app\api\producer\lot-draft\[id]\send-to-lab\route.ts", "TypeScript", 0, 18, 0, 0, 0, 2, 2, 22
"c:\Users\BG420\coffee-platform\app\api\producer\lot-draft\route.ts", "TypeScript", 0, 46, 0, 0, 0, 3, 10, 59
"c:\Users\BG420\coffee-platform\app\api\signature-legacy\sign\route.ts", "TypeScript", 0, 7, 0, 0, 0, 1, 5, 13
